name_word,frequency,tag names,category,Note
for,953,,,
pen,929,Liquid,sensitive,
seeds,807,Plant species,sensitive,
nail （polish）,630,Liquid,sensitive,
makeup,622,Powder,sensitive,
cream,577,Liquid,sensitive,
gel,535,Liquid,sensitive,
new,507,,,
waterproof,477,,,
liquid,476,Liquid,sensitive,
care,475,,,
lip,417,,,
lipstick,395,Liquid,sensitive,soild ok
hair,389,,,
women,388,,,
long,388,,,
colors,372,,,
oil,371,Liquid,sensitive,
color,370,,,
lasting,364,,,
anti,342,,,
flower,339,Plant species,sensitive,
matte,335,,,
garden,334,,,
eye,330,,,
polish,321,Liquid,sensitive,
natural,313,,,
and,311,,,
coin,302,Mental,sensitive,
tool,301,,,
black,293,,,
men,292,,,
skin,289,,,
bonsai,286,Plant species,sensitive,
gift,274,,,
fashion,266,,,
set,259,,,
art,250,,,
beauty,248,Liquid,sensitive,
gold,247,Mental,sensitive,
home,241,,,
pens,238,Liquid,sensitive,
whitening,234,Powder,sensitive,
office,228,,,
plant,223,Plant species,sensitive,
school,218,,,
growth,216,,,
coins,205,Mental,sensitive,
face,201,,,
stationery,200,,,
car,198,,,
essential,193,Liquid,sensitive,
eyeshadow,188,Liquid,sensitive,solid ok
plants,185,Plant species,sensitive,
silver,180,Mental,sensitive,
foot,180,,,
body,178,,,
ink,175,Liquid,sensitive,
with,174,,,
commemorative,174,,,
supplies,171,,,
treatment,169,,,
glitter,169,,,
massage,166,,,
pencil,163,,,
metal,161,,,
cosmetic,151,Liquid,sensitive,solid ok
double,149,,,
bag,147,,,
diy,146,,,
essence,145,Liquid,sensitive,
seed,144,Plant species,sensitive,
loss,143,,,
gloss,143,,,
collection,142,,,
writing,141,,,
tools,141,,,
repair,140,,,
sexy,138,,,
ballpoint,138,Liquid,sensitive,
health,137,,,
removal,136,,,
powder,135,Powder,sensitive,
smooth,133,,,
eyeliner,133,Liquid,sensitive,
remover,132,,,
weight,130,,,
rare,127,,,
teeth,126,,,
paint,126,Liquid,sensitive,
the,125,,,
moisturizing,125,Liquid,sensitive,
fruit,125,Plant species,sensitive,
10ml,125,,,
mascara,124,Liquid,sensitive,
ball,124,,,
red,123,,,
metallic,122,,,
mini,121,,,
toy,120,,,
slimming,117,,,
tree,114,Plant species,sensitive,
spray,114,Pressure tank,sensitive,
professional,114,,,
hot,112,,,
cute,112,,,
creative,110,,,
fat,106,,,
eyebrow,105,,,
acne,105,,,
lipgloss,103,,,
brand,103,,,
rose,102,Plant species,sensitive,
high,102,,,
velvet,101,,,
toys,101,,,
herbal,101,Plant species,sensitive,
concealer,100,Liquid,sensitive,
steel,97,,,
kids,96,,,
brush,96,,,
super,95,,,
pearl,95,Plant species,sensitive,
magic,94,magnetic,sensitive,
gifts,94,,,
fine,94,,,
crystal,93,,,
outdoor,92,,,
shimmer,91,,,
pigment,91,Liquid,sensitive,
drawing,91,,,
wrinkle,90,,,
stainless,90,,,
soft,90,,,
products,90,,,
phone,90,,,
liner,90,,,
holder,90,,,
diamond,90,,,
aging,90,,,
souvenir,89,,,
shadow,89,Liquid,sensitive,
permanent,89,,,
magnetic,89,magnetic,sensitive,
painting,88,Liquid,sensitive,
off,88,,,
business,88,,,
oils,87,Liquid,sensitive,
dark,86,,,
detox,85,,,
decoration,85,,,
cosmetics,85,Liquid,sensitive,
self,84,,,
relax,84,,,
plated,84,,,
point,83,,,
knife,83,Weapon,sensitive,
big,82,,,
moisturizer,81,Liquid,sensitive,
lady,79,,,
kit,79,,,
defense,79,,,
white,78,,,
silicone,78,,,
patch,78,,,
led,77,,,
quality,76,,,
accessories,76,,,
thickening,74,,,
marker,74,Liquid,sensitive,
female,74,,,
control,74,,,
blue,74,,,
you,73,,,
water,73,Liquid,sensitive,
pure,73,,,
potted,73,,,
perennial,73,,,
pain,73,,,
mirror,73,,,
1pc,73,,,
manicure,72,,,
chinese,72,,,
oral,71,,,
facial,71,,,
cleaning,71,,,
wax,70,Liquid,sensitive,
mask,70,Liquid,sensitive,
extension,70,,,
remove,69,,,
nude,69,,,
increase,69,,,
signature,68,,,
organic,68,,,
stick,67,,,
ointment,67,Liquid,sensitive,
mud,67,Plant,sensitive,
lips,67,,,
flowers,67,Plant species,sensitive,
effective,67,,,
burning,66,,,
best,66,,,
relief,65,,,
colorful,65,,,
make,64,,,
foundation,64,,,
eyelash,64,,,
base,64,,,
fast,63,,,
acid,63,Liquid,sensitive,
your,62,,,
tea,62,Plant species,sensitive,
easy,62,,,
kawaii,61,,,
style,60,,,
phoera,60,,,
full,60,,,
student,59,,,
tooth,58,,,
multi,58,,,
medium,58,,,
highlighter,58,,,
dick,58,adults,sensitive,
decor,58,,,
air,58,,,
varnish,57,Liquid,sensitive,
balcony,57,,,
slime,56,Liquid,sensitive,
scar,56,,,
executive,56,,,
bottle,56,,,
beautiful,56,,,
dye,55,Liquid,sensitive,
cellulite,55,,,
aromatherapy,55,,,
acrylic,55,Chemical,sensitive,
stickers,54,,,
soap,54,,,
universal,53,,,
soak,53,,,
lèvres,53,,,
light,53,,,
hyaluronic,53,Liquid,sensitive,
glue,53,Liquid,sensitive,
fountain,53,,,
cartoon,53,,,
5mm,53,,,
lot,52,,,
girl,52,,,
casual,52,,,
bigger,52,,,
balm,52,Liquid,sensitive,
scratch,51,,,
party,51,,,
indoor,51,,,
hand,51,,,
fiber,51,,,
ring,50,,,
paste,50,,,
mobile,50,,,
design,48,,,
antique,48,,,
30ml,48,,,
roller,47,,,
green,47,,,
powerful,46,,,
pepper,46,Plant species,sensitive,
men's,46,,,
feet,46,,,
100%,46,,,
mount,45,,,
medical,45,,,
fungus,45,Chemical,sensitive,
fragrant,45,,,
stand,44,,,
sale,44,,,
refills,44,,,
rechargeable,44,,,
product,44,,,
pack,44,,,
jelly,44,Liquid,sensitive,
ended,44,,,
cleaner,44,,,
round,43,,,
mixed,43,,,
head,43,,,
glass,43,,,
usb,42,,,
snail,42,,,
non,42,,,
clay,42,Plant,sensitive,
20ml,42,,,
size,41,,,
retractable,41,,,
primer,41,,,
medicine,41,,,
dollar,41,money,sensitive,
lotus,41,Plant species,sensitive,
cat,41,animal,sensitive,
24k,41,,,
vegetable,40,Plant species,sensitive,
sace,40,,,
refill,40,,,
perfume,40,Liquid,sensitive,
male,40,,,
stress,39,,,
rollerball,39,Liquid,sensitive,
queen,39,,,
palette,39,Liquid,sensitive,
multicolor,39,,,
lacquer,39,Liquid,sensitive,
improve,39,,,
fungal,39,Plant,sensitive,
des,39,,,
dental,39,,,
cover,39,,,
thick,38,,,
pro,38,,,
novelty,38,,,
marks,38,Liquid,sensitive,
curling,38,,,
bright,38,,,
adhesive,38,Liquid,sensitive,
vitamin,37,Chemical,sensitive,
ultra,37,,,
training,37,,,
sleep,37,,,
pencils,37,,,
lucky,37,,,
free,37,,,
day,37,,,
8ml,37,,,
30g,37,,,
vintage,36,,,
supply,36,,,
sticker,36,,,
shape,36,,,
random,36,,,
peel,36,,,
one,36,,,
love,36,,,
hygiene,36,,,
fragrance,36,,,
folding,36,,,
enlarge,36,,,
dnm,36,,,
blackhead,36,,,
bar,36,,,
women's,35,,,
warts,35,,,
therapy,35,,,
slim,35,,,
quick,35,,,
pot,35,,,
portable,35,,,
pores,35,,,
muscle,35,,,
grass,35,Plant species,sensitive,
finger,35,,,
extract,35,,,
ear,35,,,
clear,35,,,
calligraphy,35,,,
bamboo,35,Plant species,sensitive,
auto,35,,,
american,35,,,
tint,34,,,
temperature,34,,,
magnet,34,magnetic,sensitive,
ginger,34,Plant species,sensitive,
cleansing,34,,,
