name_word,category,sensitive_mark,Note
pen,liquid,sensitive,
seeds,plant species,sensitive,
nail polish,liquid,sensitive,
makeup,powder,sensitive,
cream,liquid,sensitive,
gel,liquid,sensitive,
liquid,liquid,sensitive,
lipstick,liquid,sensitive,soild ok
oil,liquid,sensitive,
flower,plant species,sensitive,
polish,liquid,sensitive,
coin,mental,sensitive,
bonsai,plant species,sensitive,
beauty,liquid,sensitive,
gold,mental,sensitive,
pens,liquid,sensitive,
whitening,powder,sensitive,
plant,plant species,sensitive,
coins,mental,sensitive,
essential,liquid,sensitive,
eyeshadow,liquid,sensitive,solid ok
plants,plant species,sensitive,
silver,mental,sensitive,
ink,liquid,sensitive,
cosmetic,liquid,sensitive,solid ok
essence,liquid,sensitive,
seed,plant species,sensitive,
ballpoint,liquid,sensitive,
powder,powder,sensitive,
eyeliner,liquid,sensitive,
paint,liquid,sensitive,
moisturizing,liquid,sensitive,
fruit,plant species,sensitive,
mascara,liquid,sensitive,
tree,plant species,sensitive,
spray,pressure tank,sensitive,
rose,plant species,sensitive,
herbal,plant species,sensitive,
concealer,liquid,sensitive,
pearl,plant species,sensitive,
magic,magnetic,sensitive,
pigment,liquid,sensitive,
shadow,liquid,sensitive,
magnetic,magnetic,sensitive,
painting,liquid,sensitive,
oils,liquid,sensitive,
cosmetics,liquid,sensitive,
knife,weapon,sensitive,
moisturizer,liquid,sensitive,
marker,liquid,sensitive,
water,liquid,sensitive,
wax,liquid,sensitive,
mask,liquid,sensitive,
ointment,liquid,sensitive,
flowers,plant species,sensitive,
acid,liquid,sensitive,
tea,plant species,sensitive,
dick,adults,sensitive,
varnish,liquid,sensitive,
slime,liquid,sensitive,
dye,liquid,sensitive,
acrylic,chemical,sensitive,
hyaluronic,liquid,sensitive,
glue,liquid,sensitive,
balm,liquid,sensitive,
pepper,plant species,sensitive,
fungus,chemical,sensitive,
dollar,money,sensitive,
lotus,plant species,sensitive,
cat,animal,sensitive,
vegetable,plant species,sensitive,
perfume,liquid,sensitive,
rollerball,liquid,sensitive,
palette,liquid,sensitive,
lacquer,liquid,sensitive,
fungal,plant species,sensitive,
marks,liquid,sensitive,
adhesive,liquid,sensitive,
vitamin,chemical,sensitive,
grass,plant species,sensitive,
bamboo,plant species,sensitive,
magnet,magnetic,sensitive,
ginger,plant species,sensitive,
charger power,portable battery,sensitive,
li battery,portable battery,sensitive,
perfume,liquid,sensitive,
make up,liquid,sensitive,
mask,liquid,sensitive,
paint,liquid,sensitive,
chemcial,liquid,sensitive,
makeup beauty cosmetic,liquid,sensitive,
simulation gun,weapon,sensitive,
simulation bullet,weapon,sensitive,
knife,weapon,sensitive,
crossbow,weapon,sensitive,
bomb,weapon,sensitive,
plant,plant species,sensitive,
seed,plant species,sensitive,
lodestone,magnetic,sensitive,
loudspeakers ,magnetic,sensitive,
circuit board,magnetic,sensitive,
spray,pressure tank,sensitive,
extinguisher,pressure tank,sensitive,
lighter,mental,sensitive,
flint stone,mental,sensitive,
match,mental,sensitive,
laser pointer,mental,sensitive,
famethrower,mental,sensitive,
gold,mental,sensitive,
sliver,mental,sensitive,
coins,mental,sensitive,
bluetooth speaker,magnetic,sensitive,
